shoe_name,shoe_type,shoe_color,shoe_price,shoe_size,shoe_link
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 11 / W 12.5,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 11.5 / W 13,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 12 / W 13.5,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 13 / W 14.5,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 14 / W 15.5,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 15 / W 16.5,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 16 / W 17.5,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 17 / W 18.5,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike SB Zoom Stefan Janoski RM,Skate Shoe,Shown: Vivid Purple/Black/Gum Light Brown/Laser Blue,$67.97 ,M 18 / W 19.5,https://www.nike.com/t/sb-zoom-stefan-janoski-rm-skate-shoe-MbJ6RZ/AQ7475-500
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 3.5 / W 5,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 4 / W 5.5,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 4.5 / W 6,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 5 / W 6.5,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 5.5 / W 7,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 6 / W 7.5,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 6.5 / W 8,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 7 / W 8.5,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 7.5 / W 9,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 8 / W 9.5,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 8.5 / W 10,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 9 / W 10.5,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 9.5 / W 11,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 10 / W 11.5,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 10.5 / W 12,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 11 / W 12.5,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 11.5 / W 13,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 12 / W 13.5,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 12.5 / W 14,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 13 / W 14.5,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 14 / W 15.5,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike Precision III FlyEase,Basketball Shoe,Shown: Black/White,$70 ,M 15 / W 16.5,https://www.nike.com/t/precision-iii-flyease-basketball-shoe-dlNfL4/BV7740-002
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 3.5 / W 5,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 4 / W 5.5,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 4.5 / W 6,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 5 / W 6.5,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 5.5 / W 7,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 6 / W 7.5,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 6.5 / W 8,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 7 / W 8.5,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 7.5 / W 9,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 8 / W 9.5,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 8.5 / W 10,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 9 / W 10.5,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 9.5 / W 11,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 10 / W 11.5,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 10.5 / W 12,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 11 / W 12.5,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 11.5 / W 13,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 12 / W 13.5,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 12.5 / W 14,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 13 / W 14.5,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 14 / W 15.5,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike ACG MOC 3.0,Shoe,Shown: Black/Wolf Grey/Midnight Turquoise,$73.97 ,M 15 / W 16.5,https://www.nike.com/t/acg-moc-3-shoe-BV3M5V/CI9367-001
Nike Air Max 720 (OBJ),Men's Shoe,Shown: Pure Platinum/Hyper Grape/Canyon Gold,$200 ,M 3.5 / W 5,https://www.nike.com/t/air-max-720-obj-mens-shoe-ksqP8k/CK2531-001
Nike Air Max 720 (OBJ),Men's Shoe,Shown: Pure Platinum/Hyper Grape/Canyon Gold,$200 ,M 4 / W 5.5,https://www.nike.com/t/air-max-720-obj-mens-shoe-ksqP8k/CK2531-001
Nike Air Max 720 (OBJ),Men's Shoe,Shown: Pure Platinum/Hyper Grape/Canyon Gold,$200 ,M 4.5 / W 6,https://www.nike.com/t/air-max-720-obj-mens-shoe-ksqP8k/CK2531-001
Nike Air Max 720 (OBJ),Men's Shoe,Shown: Pure Platinum/Hyper Grape/Canyon Gold,$200 ,M 5 / W 6.5,https://www.nike.com/t/air-max-720-obj-mens-shoe-ksqP8k/CK2531-001
