shoe_name,shoe_type,shoe_color,shoe_price,shoe_size,shoe_link
Nike SB Air Zoom Bruin Edge,Skate Shoe,Shown: White/Vivid Orange/Gum Light Brown/Neptune Green,$85 ,M 9 / W 10.5,https://www.nike.com/t/sb-air-zoom-bruin-edge-skate-shoe-N3gwwT/CD5036-100
Nike SB Air Zoom Bruin Edge,Skate Shoe,Shown: White/Vivid Orange/Gum Light Brown/Neptune Green,$85 ,M 9.5 / W 11,https://www.nike.com/t/sb-air-zoom-bruin-edge-skate-shoe-N3gwwT/CD5036-100
Nike SB Air Zoom Bruin Edge,Skate Shoe,Shown: White/Vivid Orange/Gum Light Brown/Neptune Green,$85 ,M 10 / W 11.5,https://www.nike.com/t/sb-air-zoom-bruin-edge-skate-shoe-N3gwwT/CD5036-100
Nike SB Air Zoom Bruin Edge,Skate Shoe,Shown: White/Vivid Orange/Gum Light Brown/Neptune Green,$85 ,M 10.5 / W 12,https://www.nike.com/t/sb-air-zoom-bruin-edge-skate-shoe-N3gwwT/CD5036-100
Nike SB Air Zoom Bruin Edge,Skate Shoe,Shown: White/Vivid Orange/Gum Light Brown/Neptune Green,$85 ,M 11 / W 12.5,https://www.nike.com/t/sb-air-zoom-bruin-edge-skate-shoe-N3gwwT/CD5036-100
Nike SB Air Zoom Bruin Edge,Skate Shoe,Shown: White/Vivid Orange/Gum Light Brown/Neptune Green,$85 ,M 11.5 / W 13,https://www.nike.com/t/sb-air-zoom-bruin-edge-skate-shoe-N3gwwT/CD5036-100
Nike SB Air Zoom Bruin Edge,Skate Shoe,Shown: White/Vivid Orange/Gum Light Brown/Neptune Green,$85 ,M 12 / W 13.5,https://www.nike.com/t/sb-air-zoom-bruin-edge-skate-shoe-N3gwwT/CD5036-100
Nike SB Air Zoom Bruin Edge,Skate Shoe,Shown: White/Vivid Orange/Gum Light Brown/Neptune Green,$85 ,M 13 / W 14.5,https://www.nike.com/t/sb-air-zoom-bruin-edge-skate-shoe-N3gwwT/CD5036-100
Nike SB Air Zoom Bruin Edge,Skate Shoe,Shown: White/Vivid Orange/Gum Light Brown/Neptune Green,$85 ,M 14 / W 15.5,https://www.nike.com/t/sb-air-zoom-bruin-edge-skate-shoe-N3gwwT/CD5036-100
Nike Mercurial Vapor 13 Academy IC,Indoor/Court Soccer Shoe,Shown: Black/Black,$61.97 ,M 4.5 / W 6,https://www.nike.com/t/mercurial-vapor-13-academy-ic-indoor-court-soccer-shoe-kXZ8z8/AT7993-010
Nike Mercurial Vapor 13 Academy IC,Indoor/Court Soccer Shoe,Shown: Black/Black,$61.97 ,M 5 / W 6.5,https://www.nike.com/t/mercurial-vapor-13-academy-ic-indoor-court-soccer-shoe-kXZ8z8/AT7993-010
Nike Mercurial Vapor 13 Academy IC,Indoor/Court Soccer Shoe,Shown: Black/Black,$61.97 ,M 5.5 / W 7,https://www.nike.com/t/mercurial-vapor-13-academy-ic-indoor-court-soccer-shoe-kXZ8z8/AT7993-010
Nike Mercurial Vapor 13 Academy IC,Indoor/Court Soccer Shoe,Shown: Black/Black,$61.97 ,M 6 / W 7.5,https://www.nike.com/t/mercurial-vapor-13-academy-ic-indoor-court-soccer-shoe-kXZ8z8/AT7993-010
Nike Mercurial Vapor 13 Academy IC,Indoor/Court Soccer Shoe,Shown: Black/Black,$61.97 ,M 6.5 / W 8,https://www.nike.com/t/mercurial-vapor-13-academy-ic-indoor-court-soccer-shoe-kXZ8z8/AT7993-010
Nike Mercurial Vapor 13 Academy IC,Indoor/Court Soccer Shoe,Shown: Black/Black,$61.97 ,M 7 / W 8.5,https://www.nike.com/t/mercurial-vapor-13-academy-ic-indoor-court-soccer-shoe-kXZ8z8/AT7993-010
Nike Mercurial Vapor 13 Academy IC,Indoor/Court Soccer Shoe,Shown: Black/Black,$61.97 ,M 7.5 / W 9,https://www.nike.com/t/mercurial-vapor-13-academy-ic-indoor-court-soccer-shoe-kXZ8z8/AT7993-010
Nike Mercurial Vapor 13 Academy IC,Indoor/Court Soccer Shoe,Shown: Black/Black,$61.97 ,M 8 / W 9.5,https://www.nike.com/t/mercurial-vapor-13-academy-ic-indoor-court-soccer-shoe-kXZ8z8/AT7993-010
Nike Mercurial Vapor 13 Academy IC,Indoor/Court Soccer Shoe,Shown: Black/Black,$61.97 ,M 8.5 / W 10,https://www.nike.com/t/mercurial-vapor-13-academy-ic-indoor-court-soccer-shoe-kXZ8z8/AT7993-010
Nike Mercurial Vapor 13 Academy IC,Indoor/Court Soccer Shoe,Shown: Black/Black,$61.97 ,M 9 / W 10.5,https://www.nike.com/t/mercurial-vapor-13-academy-ic-indoor-court-soccer-shoe-kXZ8z8/AT7993-010
Nike Mercurial Vapor 13 Academy IC,Indoor/Court Soccer Shoe,Shown: Black/Black,$61.97 ,M 9.5 / W 11,https://www.nike.com/t/mercurial-vapor-13-academy-ic-indoor-court-soccer-shoe-kXZ8z8/AT7993-010
Nike Mercurial Vapor 13 Academy IC,Indoor/Court Soccer Shoe,Shown: Black/Black,$61.97 ,M 10 / W 11.5,https://www.nike.com/t/mercurial-vapor-13-academy-ic-indoor-court-soccer-shoe-kXZ8z8/AT7993-010
Nike Mercurial Vapor 13 Academy IC,Indoor/Court Soccer Shoe,Shown: Black/Black,$61.97 ,M 10.5 / W 12,https://www.nike.com/t/mercurial-vapor-13-academy-ic-indoor-court-soccer-shoe-kXZ8z8/AT7993-010
Nike Mercurial Vapor 13 Academy IC,Indoor/Court Soccer Shoe,Shown: Black/Black,$61.97 ,M 11 / W 12.5,https://www.nike.com/t/mercurial-vapor-13-academy-ic-indoor-court-soccer-shoe-kXZ8z8/AT7993-010
Nike Mercurial Vapor 13 Academy IC,Indoor/Court Soccer Shoe,Shown: Black/Black,$61.97 ,M 11.5 / W 13,https://www.nike.com/t/mercurial-vapor-13-academy-ic-indoor-court-soccer-shoe-kXZ8z8/AT7993-010
Nike Mercurial Vapor 13 Academy IC,Indoor/Court Soccer Shoe,Shown: Black/Black,$61.97 ,M 12 / W 13.5,https://www.nike.com/t/mercurial-vapor-13-academy-ic-indoor-court-soccer-shoe-kXZ8z8/AT7993-010
Nike Mercurial Vapor 13 Academy IC,Indoor/Court Soccer Shoe,Shown: Black/Black,$61.97 ,M 12.5 / W 14,https://www.nike.com/t/mercurial-vapor-13-academy-ic-indoor-court-soccer-shoe-kXZ8z8/AT7993-010
Nike Mercurial Vapor 13 Academy IC,Indoor/Court Soccer Shoe,Shown: Black/Black,$61.97 ,M 13 / W 14.5,https://www.nike.com/t/mercurial-vapor-13-academy-ic-indoor-court-soccer-shoe-kXZ8z8/AT7993-010
Nike Zoom KD12,Basketball Shoe,Shown: White/Wolf Grey/Black,$128.97 ,M 7 / W 8.5,https://www.nike.com/t/zoom-kd12-basketball-shoe-MTV6cJ/CK1195-101
Nike Zoom KD12,Basketball Shoe,Shown: White/Wolf Grey/Black,$128.97 ,M 7.5 / W 9,https://www.nike.com/t/zoom-kd12-basketball-shoe-MTV6cJ/CK1195-101
